Section,Name,OVR,Image
Attack,Kylian Mbappé,91,
Attack,Erling Haaland,91,
Attack,Raphinha,90,
Attack,Harry Kane,90,
Attack,Jude Bellingham,89,
Attack,Ousmane Dembélé,88,
Attack,Khvicha Kvaratskhelia,88,
Attack,Michael Olise,88,
Attack,Lamine Yamal,88,
Attack,Fermin Lopez,87,
Attack,Lautaro Martínez,87,
Attack,Anthony Gordon,87,
Attack,Joao Pedro,86,
Attack,Morgan Rogers,86,
Attack,Serhou Guirassy,86,
Attack,Julian Alvarez,86,
Attack,Bruno Fernandes,86,
Attack,Cody Gakpo,86,
Attack,Cole Palmer,86,
Attack,Alexander Isak,85,
Attack,Enzo Fernandez,85,
Attack,Vinicius Junior,85,
Attack,Kai Havertz,85,
Attack,Marcus Thuram,85,
Attack,Ryan Cherki,85,
Defense,Virgil van Dijk,89,
Defense,Gabriel Magalhães,89,
Defense,William Saliba,88,
Defense,Lisandro Martinez,88,
Defense,Pau Cubarsi,87,
Defense,Alessandro Bastoni,87,
Defense,Josko Gvardiol,87,
Defense,Ezri Konsa,87,
Defense,Marquinhos,87,
Defense,John Stones,87,
Defense,Dayot Upamecano,86,
Defense,Achraf Hakimi,86,
Defense,Trent Alexander-Arnold,86,
Defense,Theo Hernández,86,
Defense,Alphonso Davies,86,
Defense,Federico Dimarco,86,
Defense,Jeremie Frimpong,86,
Defense,Ricardo Calafiori,86,
Defense,Nicholas Schlotterbeck,86,
Defense,Ben White,85,
Defense,Abdulkadir Khusanov,85,
Defense,Ibrahima Konate,85,
Defense,Micky Van de Ven,85,
Defense,WIilian Pacho,85,
Defense,Kim Min-jae,85,
